Input_Set,Lookback,Horizon,MAE,RMSE,MAPE,sMAPE,NRMSE,Directional_Accuracy,AUHE,Train_Time_sec,Inference_Time_sec,Num_Parameters,Model_Size_MB,FLOPs
w/o_Copper_Lead_Zinc,10,1,27.57343101501465,35.54878428938358,1.1198056861758232,1.1238515377044678,0.0308449337642777,0.5095168374816984,0.0,145.30839824676514,0.0003311539951123689,4257,0.016239166259765625,11568.0
w/o_Copper_Tin_Zinc,10,1,27.873897552490234,35.52679034237754,1.1362451128661633,1.1379593051970005,0.030825848693185644,0.5065885797950219,0.0,121.08117723464966,0.000319289185150325,4257,0.016239166259765625,11568.0
w/o_Copper_Lead_Nickel,10,1,26.811288833618164,34.2438709873068,1.093500480055809,1.094705332070589,0.02971268527678448,0.49633967789165445,0.0,180.72265672683716,0.0003299998958208408,4257,0.016239166259765625,11568.0
w/o_Copper_Nickel_Tin,10,1,28.152734756469727,36.15750760831438,1.1414339765906334,1.1455375701189041,0.03137310963132115,0.5065885797950219,0.0,163.53493452072144,0.000329465545408907,4257,0.016239166259765625,11568.0
w/o_Copper_Nickel_Zinc,10,1,40.94322204589844,52.841391413212946,1.672418974339962,1.6702553257346153,0.04584936443999115,0.4904831625183016,0.0,76.41128778457642,0.00032877573492931343,4257,0.016239166259765625,11568.0
w/o_Lead_Tin,10,1,28.124385833740234,36.47792869978451,1.1386532336473465,1.1433507315814495,0.03165113072591849,0.493411420204978,0.0,147.96124625205994,0.000318968853755304,4257,0.016239166259765625,15632.0
w/o_Lead_Zinc,10,1,27.658151626586914,35.538637438379126,1.129274908453226,1.130459737032652,0.030836129343690663,0.5124450951683748,0.0,127.91782879829407,0.0003180887266906381,4257,0.016239166259765625,15632.0
w/o_Tin_Zinc,10,1,27.69152069091797,35.27873108811455,1.1344127357006073,1.1339474469423294,0.030610613709158057,0.5065885797950219,0.0,136.11332964897156,0.0003201651294329013,4257,0.016239166259765625,15632.0
w/o_Lead_Nickel,10,1,27.06185531616211,34.738089516858146,1.102768164128065,1.1050120927393436,0.030141510208361554,0.5065885797950219,0.0,125.28062772750854,0.00031886567846376297,4257,0.016239166259765625,15632.0
w/o_Nickel_Tin,10,1,28.278148651123047,36.4505799047234,1.1438519693911076,1.1492994613945484,0.03162740181945666,0.5095168374816984,0.0,152.40541458129883,0.00031771332199810544,4257,0.016239166259765625,15632.0
w/o_Nickel_Zinc,10,1,28.539953231811523,36.43585337456518,1.1661267839372158,1.166931539773941,0.03161462216987525,0.5109809663250366,0.0,109.12861132621765,0.00031878969125580367,4257,0.016239166259765625,15632.0
w/o_Copper_Lead,10,1,27.229795455932617,35.082338972943354,1.110059954226017,1.1121628805994987,0.030440208451608233,0.5007320644216691,0.0,154.61262321472168,0.0003162695650468793,4257,0.016239166259765625,15632.0
